ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Pramotion,Content_type
104,0,0,0,1080p,"Solo 7 Finishes In Scrims | Quick 1v2 🥵",Gaming,1,Longvideo,2024-07-17,1,1,00:06:35,0,Hindi,709,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",45798,1,670911,https://youtu.be/NJEqu4Kn48g?si=cm-Ef5PwWfeleeuw,,0,Game
105,0,0,0,1080p,"THIS IS HAPPENING IN BGMI ESPORTS 🤣| Behind the Scenes",Vlog,1,Longvideo,2024-07-14,1,1,00:13:01,0,Hindi,386,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",15781,1,228464,https://youtu.be/_SKDeTQVxTQ?si=otfuUX-c0FQ8LFGh,,0,Vlog
106,0,0,0,1080p,"1 Lakh UC X-Suit Opening & Gifting To MORTAL & SARANG",Gaming,1,Longvideo,2024-07-06,1,1,00:20:44,0,Hindi,674,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",77723,1,1154653,https://youtu.be/HlAjSPYhY9s?si=KiHs1Dg3XfYK-FmS,,0,Game
107,0,0,0,1080p,"BGMI Official Shoot Behind The Scenes",Vlog,1,Longvideo,2024-07-02,1,1,00:11:44,0,Hindi,655,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",41942,1,523457,https://youtu.be/HlAjSPYhY9s?si=KiHs1Dg3XfYK-FmS,,0,Vlog
108,1,1,0,1080p,"Unboxing Samsung Odyssey G8 OLED/#LiveTheGame","Tech review",1,Longvideo,2024-06-30,1,1,00:04:11,0,Hindi,157,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",11536,1,176065,https://youtu.be/8DV9d-fo52Y?si=cSlhdEWi1LGTL_zj,Samsung,1,"Tech review"
109,0,0,0,1080p,"DELHI KI PUBLIC | Mustang 🏎️",Vlog,1,Longvideo,2024-06-20,1,1,00:08:27,0,Hindi,722,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",34579,1,339416,https://youtu.be/GV3bj3J0Kro?si=BFJ-Q_XwQHVvGevY,,0,Vlog
110,0,0,0,1080p,"This Duo is UNBEATABLE !!!!!",Gaming,1,Longvideo,2024-06-07,1,1,00:07:06,0,Hindi,244,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",18984,1,231220,https://youtu.be/Mnkew6XL5o0?si=C3Q7RIsqzPAhwOSZ,,0,Game
111,0,0,0,1080p,"REAL LIFE BATTLEGROUNDS",Vlog,1,Longvideo,2024-03-25,1,1,00:14:08,0,Hindi,355,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",29692,1,295247,https://youtu.be/1EDkEDOwoCM?si=iJG66kHHabT-_Mol,,0,Vlog
112,0,0,0,1080p,"EPIC 12 hrs, 2 Cities, 2 Amazing Events 😱",Vlog,1,Longvideo,2024-03-17,1,1,00:13:32,0,Hindi,554,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",58778,1,555534,https://youtu.be/vSMk3XMdJYA?si=eSfsdB6gU_QYhp48,,0,Vlog
113,0,0,0,1080p,"Every Boys Morning Problem 😏😳",Vlog,1,Longvideo,2024-03-11,1,1,00:20:40,0,Hindi,418,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",41374,1,497710,https://youtu.be/oFpIbKjLlZ4?si=u5wN7i1czjk2biFj,,0,Vlog
114,0,0,0,1080p,"My New 5 Finger Handcam",Vlog,1,Longvideo,2024-03-09,1,1,00:07:17,0,Hindi,682,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",36575,1,381082,https://youtu.be/bOnqx2EiDXo?si=QcT5l0VTbPWmX6w2,,0,Vlog
115,0,0,0,1080p,"This is what every Esports Athlete Needs!",Vlog,1,Longvideo,2024-02-23,1,1,00:07:23,0,Hindi,336,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",10265,1,143782,https://youtu.be/Gydq6HcPtlI?si=ILhFOlz4_JCviATy,,0,Vlog
116,0,0,0,1080p,"Solo 7 Kills & Chicken Dinner in Tournament POV + VLOG",Gaming,1,Longvideo,2024-02-15,1,1,00:12:30,0,Hindi,468,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",28009,1,342502,https://youtu.be/exWra1jnDDI?si=RxLmZZd8_-A2DY_L,,0,Game
